BRAND NAME,PRODUCT NAME,CATEGORY,SUBCATEGORY,INGREDIENTS,NOVA Group
Crownfield,"Bio-Haferflocken, zart - Crownfield - 500 g","Plant-based foods and beverages,  Plant-based foods"," Rolled oats,  Oat","100% oat wholemeal flakes * 
*from controlled organic cultivation",Unprocessed or minimally processed foods
Coca-Cola,Coca-Cola Zero - 2l,"Beverages,  Carbonated drinks"," Carbonated soft drink without fruit juice without sugar and with artificial sweeteners,  Diet cola soft drink",5 449000 131843 2L RECYCLE MICH,Ultra processed foods
Vemondo,Bevanda mandorla BIO - Vemondo - 1l,"Plant-based foods and beverages,  Beverages"," Almond-based drinks,  fr:Boissons au lait végétales","water, 2,3% almonds', maltodextrins', sea salt, stabilizers: carob seed flour, gellanic gum, emulsifier: sunflower lecithin', natural aroma, 'from organic farming, may contain traces of other nuts, gluten-free, naturally lactose-free, 100% vegetable",Ultra processed foods
Romaqua Group,Water - Romaqua Group - 2l,"Beverages and beverages preparations,  Beverages"," Mineral waters,  Băuturi",mineral water,Unprocessed or minimally processed foods
Maille,Maille mout orig fdl 360g - 360 g,"Condiments,  Frozen foods"," Dijon mustards,  Fine mustards","French: 
                    
                    Eau, graines de MOUTARDE, vinaigre d'alcool, sel, acidifiant : acide citrique, conservateur : DISULFITE de potassium.",Processed foods
Lindt,Excellence 99% Cacao Noir Absolu - Lindt - 50 g,"Snacks,  Sweet snacks"," Dark chocolates,  Extra fine dark chocolates","Cocoa solids 99%, Cocoa paste, fat-reduced cocoa, cocoa butter, demerara sugar. May contain nuts, milk and soya.",Processed foods
Alpro,Oat - Alpro - 1 l,"Plant-based foods and beverages,  Beverages"," Unsweetened beverages,  Oat-based drinks","Oat base (96.6%) ( Water, Oat [9.8%)], Soluble corn fibre, Sunflower oil, Calcium [Tri-calcium phosphate), Sea salt, Stabiliser (Gellan gum), Vitamins B2, B12, D2.",Ultra processed foods
Heinz,Tomato Ketchup 910 g flacon - Heinz - 800ml,"Condiments,  Sauces"," Tomato Ketchup,  Groceries","tomato (148 g per 100 g of tomato ketchup), vinegar, sugar, salt, extracts of herbs and spices (contain celery ), spice",Processed foods
"Ferrero, Nutella",Nutella - Ferrero - 800 g,"Breakfasts,  Spreads"," Chocolate spreads,  Cocoa and hazelnuts spreads","sugar, palm oil, noisettes 13%, milk skimmed powder 8,7%, lean cocoa
7,4%, emulsifiers: lecithins [ soja ] vanillin",Ultra processed foods
Harrys,Brioche moins de sucre - Harrys - 485 g,"Plant-based foods and beverages,  Plant-based foods"," fr:Brioches tranchées,  fr:Brioches natures","French: 
                    
                    Farine de BLÉ 52,5%, eau, OEUFS frais 9%, huile de colza, sucre 8,5%, arôme (contient alcool), fibres (BLÉ, AVOINE), gluten de BLÉ, levure, sel, extraits végétaux à pouvoir colorant (curcuma, paprika), extrait d'acérola. Peut contenir des traces de LAIT, SOJA, FRUITS A COQUE, GRAINES DE SÉSAME.",Ultra processed foods
Nature Valley,Crunchy oats&honey - Nature Valley - 210 g (5 x 42 g),"Plant-based foods and beverages,  Plant-based foods"," Suplementos-de-culturismo,  Suplementos-dieteticos","whole grain oat flakes (60%),sugar, refined sunflower oil, honey (3%), salt, cane molasses, emulsifier (sunflower lecithin), gasifier (sodium acid carbonate)",Ultra processed foods
St Michel,Petites madeleines - St Michel - 500 g,"Snacks,  Sweet snacks"," Madeleines,  Madeleines natures","wheat flour (32%), rapeseed oil, non-hydrogenated, sugar, eggs from hens raised outdoors (16%), stabilizer: glycerol, glucose-fructose syrup, fresh milk semi-skimmed pasteurized (5%), baking powders: diphosphates and carbonates of sodium (wheat), salt, flavour, contains soy, traces of any nuts",Ultra processed foods
Yoplait,Skyr - Yoplait - 400 g (4 x 100 g),"Dairies,  Fermented foods"," Skyrs,  Plain skyrs","French: 
                    
                    Yaourt maigre (Lait)",Unprocessed or minimally processed foods
Maple joe,Sirop d'érable ambré goût riche - Maple joe - 250g - 190ml,"Sweeteners,  Syrups"," Maple syrups,  Amber maple syrups",Pur sirop d'érable,Processed culinary ingredients
QUAKER,Cruesli Chocolat noir - QUAKER - 450 g,"Plant-based foods and beverages,  Plant-based foods"," Crunchy cereal clusters,  Cereal clusters with chocolate","full oats (37%), dark chocolate* (12%) (cocoa, sugar, natural vanilla flavour, emulsifiers (soy lecithin, polyglycerol polyricinoleate)),sunflower oil,sugar,complete wheat (9,6%),glucose syrup,oligofructose,rice flours and wheat (1,9%),dried coconut,molasses,salt,cinnamon,caramelized sugar,flavourings,antioxidant (tocopherol),*dark chocolate contains a minimum of 65% cocoa",Ultra processed foods
Poulain,Noir Extra - Poulain - 100 g,"Snacks,  Sweet snacks"," fr:Chocolat-noir-extra,  fr:Chocolats noir à croquer","sugar, cocoa paste, cocoa butter, lean cocoa powder, emulsifier (soy lecithin), flavouring, skimmed milk powder, cocoa: 47% minimum, may contain wheat, barley and nuts",Ultra processed foods
Nature Valley General Mills,"Crunchy avoine et miel - Nature Valley General Mills - 210 g, 5 barres doubles de 42 g","Plant-based foods and beverages,  Plant-based foods"," Bars,  Cereal bars","whole oats (59%), sugar, sunflower oil, honey (3%), salt, molasses, emulsifier: sunflower lecithin, baking powder: sodium bicarbonate",Ultra processed foods
Alesto,Brazil nuts - Alesto - 200g,"Plant-based foods and beverages,  Plant-based foods"," Brazil nuts,  Shelled Brazil nuts","brazil nuts, traces (nuts, peanuts)",Unprocessed or minimally processed foods
Carpatica,Aqua Carpatica - 500 ml,"Beverages,  Waters"," Băuturi,  Băuturi fără zahăr",water,Food processing level unknown
Lurpak,Spreadable - Lurpak - 400g,"Dairies,  Fats"," Dairy spread,  Butters","butter (64%) (milk), rapeseed oil, water, lactic culture (milk), salt",Processed culinary ingredients
Gerblé,"Gerblé - Sugar Free Cocoa Chip Cookie, 130g (4.6oz) - 130 g","Snacks,  Sweet snacks"," Biscuits,  Chocolate biscuits","wheat flour , sweetener: maltitol,canola oil, chocolate chip malitol 11% (sweetener: maltitol, cocoa paste, emulsifier: soya lecithin , lean cocoa powder, natural flavour of vanilla), fiber of wheat , lean cocoa powder 4%, its d' oats , sea salt, emulsifier: sunflower lecithin, natural flavor, baking powders (ammonium carbonate, carbonate sodium acid), sweetener: sucralose",Ultra processed foods
"LU, Mondelez International",Véritable Petit Écolier Chocolat au Lait - LU - 150 g (12x 12.5 g) e,"Snacks,  Sweet snacks"," Biscuit with a milk chocolate bar covering,  Butter biscuit with chocolate","small butter 52%: wheat flour 68.1%, sugar, pastry butter 14.7%, skimmed milk powder, baking powder (ammonium acid carbonate, sodium acid carbonate, disodium diphosphate), salt, acidity regulator (citric acid),

milk chocolate 48%: sugar, cocoa butter, cocoa mass, skimmed milk powder, glucose syrup, pastry butter, emulsifier (soy lecithin), vanilla flavour",Ultra processed foods
Heinz,Tomato ketchup 50% moins de sucres & de sel - Heinz - 435g,"Plant-based foods and beverages,  Plant-based foods"," Ketchup,  Tomato Ketchup","French: 
                    
                    Tomates (174 g pour 100 g de Tomato Ketchup), vinaigre d'alcool, sucre, sel, extraits d'épices et d'herbes (contiennent du céleri), édulcorant (glycosides de stéviol), épice",Ultra processed foods
PasquierBrioche Pasquier,Grilletine au froment sans sucres ajoutés - PasquierBrioche Pasquier - 255 g,"Plant-based foods and beverages,  Plant-based foods"," Pains grillés,  Petits pains grillés","Farine de BLÉ 83% - Édulcorant : maltitol - Huile de tournesol - Levure boulangère - GLUTEN de blé - Sel - Minéraux de mer (potassium, magnésium, calcium) - Farine de BLÉ malté - Fibre de BLÉ - Agent de traitement de la farine: acide ascorbique. *Contient des sucres naturellement présents. Ce produit contient du BLÉ et du GLUTEN. Ce produit a pu être en contact avec des œufs, des fruits à coque, du lait, des graines de sésame et du soja.",Ultra processed foods
Lindt,"Chocolat noir extra-fin, traditionnel. - Lindt - 100 g","Snacks,  Sweet snacks"," Chocolates,  Dark chocolates","cocoa paste, cocoa butter, sugar, lean cocoa, anhydrous milk fat, may contain hazelnuts, almonds, other nuts, milk and soy",Processed foods
"Nestlé, Ricoré",ricore - Nestlé - 260 g,"Plant-based foods and beverages,  Beverages"," Instant chicory,  Instant mix of chicory and coffee powder","French: 
                    
                    Café soluble 33,2%, fibres de chicorée (oligofructose) 33%, chicorée soluble 30%, sulfate de magnésium.",Unprocessed or minimally processed foods
Leroux,Chicorée soluble nature - Leroux - 200 g,"Plant-based foods and beverages,  Beverages"," Instant chicory,  fr:Chicorée",100% soluble chicory,Unprocessed or minimally processed foods
"Carte d'or, Unilever",CARTE D'OR Glace Crème Glacée Vanille de Madagascar 900ml - 472 g,"Desserts,  Frozen foods"," Ice cream tubs,  Vanilla ice cream tubs","rehydrated skimmed milk, crème (20%), glucose syrup, sugar, fructose, lactose and lait proteins, emulsifier (mono - and fatty acid diglycerides), stabilizers (guar gum, carob seed flour), condensed skimming, depleted vanilla pods, natural vanilla aroma, vanilla extract, dye",Ultra processed foods
Primevère,Primevère - 250 g,"Plant-based foods and beverages,  Plant-based foods"," Light margarines,  fr:Beurre cuisson et tartine","vegetable oils and fats non-hydrogenated 62% (rapeseed, palm kernel, palm), water, emulsifiers : lecithins, sunflower, salt, natural flavourings, concentrated lemon juice, antioxidant : rosemary extract, colours : annatto, curcumin, vitamin b1",Ultra processed foods
Coca-Cola,Coca Cola Original taste - 1.5l,"Beverages,  Carbonated drinks"," Sweetened beverages,  pl:gazowane","carbonated water, sugar, colour (caramel e150), acid (phosphoric acid), natural flavourings (including caffeine)",Ultra processed foods
"LU, Mondelez","Bâtonnets de céréales fourrés (47,5 %) au chocolat - Cracotte Chocolat - LU - 200 g","Plant-based foods and beverages,  Plant-based foods"," Crispbreads,  Extruded and grilled biscuits with chocolate filling","French: 
                    
                    Farine de blé 47 %, sucre, huiles végétales (palme, colza en proportions variables), chocolat 10 % (cacao maigre en poudre, pâte de cacao, sucre), lactosérum en poudre (de lait), émulsifiants (lécithine de soja, lécithine de tournesol), sel, minéral (diphosphate ferrique).",Ultra processed foods
"Président, Lactalis",PRESIDENT CAMEMBERT 250g - 0.25 kg,"Dairies,  Fermented foods"," Pasteurized cheeses,  Camemberts from pasteurized cow milk","milk (origin france), lactic and ripening ferments, salt",Processed foods
Ethiquable,Beurre bio de cacahuètes - Ethiquable - 350 g,"Plant-based foods and beverages,  Plant-based foods"," Nut butters,  Peanut butters",Arachide,Unprocessed or minimally processed foods
Coca-Cola,Coca-Cola Zero - 1 l,"Beverages and beverages preparations,  Beverages"," Diet cola soft drink,  Sweetened beverages","carbonated water, dye: e150d, acidifiers: phosphoric acid, sodium citrate, sweeteners: aspartame, acesulfame-k, natural aromas (vegetable extracts), including caffeine, contains a source of phenylalamine",Ultra processed foods
Nature Valley,Protein Cacahuetes🥜 & Chocolat🍫 - Nature Valley - 160 g (4x40 g),"Plant-based foods and beverages,  Plant-based foods"," Peanut bars,  Protein bars","roasted peanuts (39%), chicory root extract, isolated soy protein, chocolate pieces (8%) (sugar, cocoa paste, emulsifier: soy lecithin), sugar, vegetable fat: palm, whey (milk), sunflower oil, fructose, glucose syrup, peanut butter (2%), lean cocoa powder, tapioca starch, humectant: glycerol, salt, emulsifiers: sunflower and soybean lecithins,  natural aromas, maltodextrin allergens: see ingredients in bold, may contain nuts and sunflower seeds, cocoa butter contains 4 servings",Ultra processed foods
Menguy's,Peanut butter creamy - Menguy's - 454 g,"Plant-based foods and beverages,  Plant-based foods"," Peanut butters,  Peanuts","roasted peanuts of the americas 86%, vegetable butter (salt, cocoa), sugar, salt",Processed foods
Van houten,L'Original - Cacao en poudre non sucré - Van houten - 250 g,"Cocoa and its products,  Cocoa and chocolate powders"," Cocoa powders,  fr:Préparation pour boisson chocolatée","unsweetened cocoa powder, acidity correctors: potassium carbonates, potassium hydroxide, may contain traces of nuts, peanuts, milk, gluten and soy",Unprocessed or minimally processed foods
Heudebert,La Biscotte 96% de céréales - Heudebert - 2 x 150 g,"Plant-based foods and beverages,  Plant-based foods"," Breads,  Rusks","French: 
                    
                    Farine de blé 96,4 %, huile de palme, sucre, levure, sel, émulsifiants (E471, E481), agent de traitement de la farine (acide ascorbique).",Ultra processed foods
Poulain,Pâte à tartiner - Poulain - 400 g,"Breakfasts,  Spreads"," Chocolate spreads,  Cocoa and hazelnuts spreads","sugar, sunflower oil, hazelnuts (13%), lean cocoa powder (7%), skimmed milk powder, whey (from milk) powder, lactose (from milk), cocoa butter, emulsifier (sunflower lecithin), natural vanilla flavour",Ultra processed foods
"Lu, Mondelèz International",Granola Gros éclats de chocolat - Lu - 184 g,"Snacks,  Desserts"," Snacks sucrés,  Biscuits au chocolat","Farine de blé 34 %,  chocolat 33,4 % [sucre, pâte de cacao, graisses végétales (palme et karité en proportions variables), dextrose, beurre  de cacao, émulsifiant (lécithine de soja)], huile de palme, sucre, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium,  diphosphate disodique), sel, colorant  (bêta-carotène), arôme",Ultra processed foods
"Le Bon Paris, Herta",Le Bon Paris à l'Étouffée - 140 g,"Meats and their products,  Prepared meats"," White hams,  fr:B","French: 
                    
                    Jambon frais de porc, sel, arôme naturel, bouillon( eau, gras et couene de porc, os de porc, sel, extrait de carotte et oignon et plantes aromatique), sucre, chlorure de potassium,  antioxydant: acide ascorbique, vinaigre en poudre",Ultra processed foods
St Michel,Galettes au bon beurre - St Michel - 130 g (20 x 6.5 g),"Snacks,  Sweet snacks"," Shortbread biscuit with butter,  fr:Sablés au beurre","wheat flour, sugar, butter (18%), eggs, natural flavour, salt, baking powders (ammonium and sodium carbonates, citric acid), skimmed milk powder",Ultra processed foods
Lay’s,Lay's Cuites au four nature - 130 g,"Plant-based foods and beverages,  Plant-based foods"," Crisps,  Crisps made from reconstituted potato","potato flakes, starch, sunflower oil, sugar, emulsifier (sunflower lecithin),dextrose,salt,acidity regulator (citric acid),turmeric extract",Ultra processed foods
Gullón,Digestive Oats choc - Gullón - 425 g,"Snacks,  Sweet snacks"," Wafers,  Oatmeal cookies","oat flakes 34%, whole wheat flour 22%, dark chocolate drops 15% (sugar, cocoa paste, dextrose, cocoa butter, emulsifier (soy lecithin), flavourings), vegetable oil (high oleic sunflower) 14,5%, sugar, glucose and fructose syrup, raising agents (sodium acid carbonate, ammonium acid carbonate), salt",Ultra processed foods
Fanta,Orange - Fanta - 2 l,"Plant-based foods and beverages,  Beverages"," Sweetened beverages,  fr:Boisson gazeuse aux fruits avec moins de 20 % de jus non sucrée avec édulcorants","carbonated water, orange juice-based concentrate (10%), sugar, lemon juice-based concentrate (2%), preservative: potassium sorbate, flavourings, natural orange with other natural flavourings, sweeteners: acesulfame-k, sucralose, stabilizer: guar gum, coloring: carotenes",Ultra processed foods
"LU, Mondelez, Mondelez international",Véritable petit beurre - LU - 200 g e,"Snacks,  Sweet snacks"," Biscuits,  Petit-Beurre","French: 
                    
                    Farine de blé 73.4 %, sucre, beurre 13.6%, lait écrémé en poudre 1.3%, sel, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium), correcteur d'acidité (acide citrique), arôme.",Ultra processed foods
"La Boulangère Bio, La Boulangère",Pain De Mie Bio - La Boulangère Bio - 500 g,"Plant-based foods and beverages,  Plant-based foods"," Wholemeal breads,  Wholemeal sliced breads","wheat flour*, water, whole wheat flour* 13%, foux cane sugar*, yeast, rapeseed oil*, apple cider vinegar*, wheat bran*, salt, wheat gluten*, flour processing agent: ascorbic acid, possible traces of soy, *ingredients from organic farming",Ultra processed foods
"Barilla,  pesto",Pesto Rosso - Barilla - 200 g,"Condiments,  Sauces"," Food,  Groceries","Tomatenfruch 37%, Sonnenblumenöl, Tomatenmarkkonzentr 15%, Grana Padano-Käse g.U. (Milch, Lysozym aus Ei), Cashewkerne, Zucker, Salz, Basilikum, Balsamico-Essig aus Modena ""Aceto Balsamico d Modena gg.A 2% (Weinessig, gekochter Traubermost Molkepulver (Milch), Pecorino Romano Kase gu (Schafsmilch), Reisstärke, Knoblauch, Säureregulator Michsäure, natürliches Aroma (Milch). Kann Spuren 2,3 von anderen Schalenfrüchten (Hartschalenobst 83,8 enthalten.",Food processing level unknown
"Amora, Unilever",Am mout forte b5 430g - Amora - 430 g,"Condiments,  Sauces"," Mustards,  Dijon mustards","French: 
                    
                    Eau, graines de MOUTARDE, vinaigre d'alcool, sel, acidifiant : acide citrique, conservateur : DISULFITE de potassium.",Processed foods
Maître Jean Pierre,Petit Pains Grillés Blé complet - Maître Jean Pierre - 225g,"Plant-based foods and beverages,  Plant-based foods"," Toasts,  Toasted bread rolls",": 
                    
                    45% farine de blé complet (Origine : France), 45% farine de blé (Origine : France), huile de colza, sucre, levure, sel, gluten de blé, agent de traitement de la farine: acide ascorbique. Traces éventuelles de lait, d'œufs, de graines de sésame et de soja.",Ultra processed foods
Fleury Michon,Le Supérieur - à l'Etouffée - Conservation sans Nitrite - Fleury Michon - 140 g,"Meats and their products,  Meats"," Jambon cuit supérieur,  Jambon sans couenne","pork ham, broth (water, pork bones, onion concentrate, shallot, carrot concentrate, pork, garlic, spices, aromatic plants, celery, carrots, celery concentrate, leek, onion), salt, natural flavor (natural presence of polyphenols), corn dextrose, antioxidant: ascorbic acid",Ultra processed foods
"NutellaFerrero, Ferrero",Nutella Hazelnut & Chocolate Spread - NutellaFerrero - 450g,"Breakfasts,  Spreads"," Schoko- und Haselnussaufstriche,  Süße Brotaufstriche","Sugar, Palm Oil, Hazelnuts (13%), Skimmed Milk Powder (8.7%), Fat-Reduced Cocoa (7.4%), Emulsifier: Lecithins (Soya), Vanillin",Ultra processed foods
"Cœur de Lion, CF&R, Savencia",Coulommiers - Cœur de Lion - 350 g,"Dairies,  Fermented foods"," Pasteurized cheeses,  Coulommiers","cow's milk, salt, ferments (contain milk)",Processed foods
Fleury Michon,Le Supérieur -25% de Sel - Conservation sans Nitrite - Fleury Michon - 140 g,"Meats and their products,  Meats"," White hams with less salt,  fr:Jambon sans couenne","pork ham, broth (water, pork bones, aromatic plants, spices, onion concentrate, carrot concentrate, pork meat, celery, carrots, celery concentrate, leek, onion), salt, potassium chloride, natural flavor (natural presence of polyphenols), vinegar powder, corn dextrose, antioxidant: ascorbic acid",Ultra processed foods
Poulain,Grand Arôme 32% de Cacao - Poulain - 800 g,"Beverages,  Cocoa and its products"," Cocoa powders,  Chocolate powders","sugar, lean cocoa (11% cocoa butter) powder, aroma,

cocoa: 32% minimum",Ultra processed foods
Pringles,Pringles Original - 185,"Snacks,  Salty snacks"," Crisps,  Crisps made from reconstituted potato","Dehydrated potatoes, vegetable ois (su portions, wheat flour, corn flour, rice flour, maltodextrin, emulsifier (E471), salt, colour betre: see bottom (BB). Packaged in a protective atmosphere.",Ultra processed foods
Primevère,Tartine & Cuisson 100% végétal - Primevère - 500g,"Plant-based foods and beverages,  Plant-based foods"," Margarines,  Light margarines","non-hydrogenated vegetable oils and fats 62% (rapeseed,quot,, palm kernel*, palm*)(), water, emulsifiers: sunflower lecithins* salt, natural flavors, concentrated lemon juice*, antioxidant: rosemary extract*, dyes:curcumin*, annatto, vitamin b1, ,quot,ingredients of vegetable origin",Ultra processed foods
Sidi Ali,Eau minerale - Sidi Ali - 33 cl,"Beverages,  Waters"," Eaux minérales,  Eaux minérales naturelles","French: 
                    
                    Depuis 1978, Sidi Ali vous offre une eau minérale naturelle d'une pureté incomparable Source de bien-être et d'hydratation au quotidien Sidi Ali prend soin de vous. مد 1978 وسيدي علي يقدم لكم ماء معدني طبيعي ذوصفاء لا مثيل له. مصدر عناية وانتعاش لكل يوم، سيدي علي يعتني بكم. Sodium Calcium Composition minérale en mg/ Résidu sec à 110°C: 186 بیکاريونات 104 Bicarbonates صوديوم 26 sulfates كالسيوم 12 فات 42 Chlorures مفتريوم 9 Magnesium Nitrates بوتاسيوم 3 Potassium 15-04 5 30,93 N رانم 14 0 کلوویر ترات ت المستمكين لرقم الأخضر 34 34 00 0800",Food processing level unknown
Hell,Classic Energy Drink 250ml - Hell - 4,"Beverages,  Energy drinks"," Sweetened beverages,  ro:45kcal",marketing authorisation of alcoc er a before the,Food processing level unknown
Brioche Pasquier,Tartines de Pain Blé Complet - Brioche Pasquier - 240 g (24 tr),"Plant-based foods and beverages,  Plant-based foods"," Toasts,  fr:Pain-grille-complet",WHEAT flour - Wholemeal WHEAT flour 17% - WHEAT bran - Sunflower oil - WHEAT GLUTEN - Sugar - Salt - Baker's yeast - Flour treatment agent: ascorbic acid. -,Ultra processed foods
Lune de Miel,Miel de Fleurs Liquide Doseur 500g - Lune de Miel,"Breakfasts,  Spreads"," Flower honeys,  Liquid honeys","French: 
                    
                    Miel de Fleurs",Processed culinary ingredients
"Crownfield, Lidl",Jemné ovesné vločky - Crownfield - 500 g,"Plant-based foods and beverages,  Plant-based foods"," Rolled oats,  Cooked oat flakes",oatmeal 100%,Food processing level unknown
BN,"BN - French Casse Croute Biscuits, 375g (13.2oz) - 400 g","Snacks,  Sweet snacks"," Biscuits and cakes,  Biscuits",": 
                    
                    Farine de froment 68 % - Sucre - graisse végétale (palme) - amidon de froment - sirop de glucose - poudres à lever : carbonates d'ammonium et de sodium - sel - agent de traitement de la farine : L-cystéine - arôme.",Ultra processed foods
"Nestlé, Chocapic","Nestlé - Chocapic Cereal Organic, 375g (13.3oz) - 375 g","Plant-based foods and beverages,  Plant-based foods"," Breakfast cereals,  Chocolate cereals","whole ble flour* 33.0%*, chocolate powder 26.5% (sugar*, cocoa powder*), ble flour*, cornmeal*, glucose syrup*, orge malt extract*, sunflower oil*, salt, vanilla flavour, natural cinnamon flavour, *ingredients from organic farming, may contain milk and nuts",Ultra processed foods
"Primadona, Lidl",Huile d'olive vierge extra - Primadona - 1 L,"Plant-based foods and beverages,  Plant-based foods"," Extra-virgin olive oils,  Virgin olive oils",": 
                    
                    Huile d'olive vierge extra d'Espagne.",Processed culinary ingredients
"Président, Lactalis",President emmental coeur de meule 250g - 250 g,"Dairies,  Fermented foods"," French cheeses,  French emmentaler","milk , salt, enzymes",Processed foods
"St Moret, Savencia",Le Goût Primeur format familial - St Moret - 300 g e,"Dairies,  Fermented foods"," Pasteurized cheeses,  Cheese spreads","pasteurized milk and cream (origin: france), milk protein, salt",Ultra processed foods
Ferrero,Nutella - Ferrero - 750g,"Brotaufstriche,  Frühstücke"," Schoko- und Haselnussaufstriche,  Süße Brotaufstriche","sugar, palm oil, hazelnuts (13 %), low fat cocoa, skimmed milk powder (8,7%), emulsifier: lecithins ( soya ), vanillin",Ultra processed foods
Ferrero,Nutella - Ferrero - 400g,"Snacks,  Breakfasts"," ro:gustări-de-ciocolată,  ro:mic-dejun","sugar, vegetable fat (palm), hazelnuts (13%), skimmed milk powder (8,7%), fat reduced cocoa powder (7,4%), emulsifier (lecithins (soy/sunflower flavouring (natural identical vanillini",Ultra processed foods
Poulain,Grand Arôme 32% de Cacao - Poulain - 450 g,"Beverages,  Breakfasts"," Cocoa powders,  Chocolate powders","sugar, lean cocoa (11% cocoa butter) powder, flavour",Ultra processed foods
Lotus,Biscoff à tartiner - Lotus - 400 g,"Plant-based foods and beverages,  Plant-based foods"," Speculoos spreads,  Pâtes à tartiner","speculoos 58% (wheat flour, sugar, vegetable oils (palm oil from sustainable and certified plantations, rapeseed oil), golden syrup, baking powder (sodium acid carbonate), soy flour, salt, cinnamon, rapeseed oil, sugar, emulsifier (soy lecithin), acidifier (citric acid)",Ultra processed foods
"Materne, Pom'potes",Pom'Potes (Pomme) - Materne - 90 g,"Plant-based foods and beverages,  Plant-based foods"," Fruits desserts,  fr:Compotes sans sucres",": 
                    
                    Pomme 99.7% (purée et purée concentrée), arôme naturel de pomme, jus de citron concentré (si nécessaire pour réguler l'acidité), antioxydant : acide ascorbique.",Ultra processed foods
President,President - 250 g,"Dairies,  Fats"," Unsalted butters,  Sweet cream butters","butter (cream, original eu)",Processed culinary ingredients
Bjorg,Bjorg - 375 g,"Plant-based foods and beverages,  Plant-based foods"," Mueslis,  Mueslis with chocolate","whole oatmeal 45%, crispy oatmeal - 33% (whole oats - 26%, honey), chocolate corn petals 7% [corn petals, raw cane sugar, sea salt, butt malt, raw cane sugar, cocoa butter, cocoa paste, whole milk powder, coating agent: gum arabic], chocolate 7% (cocoa paste, raw cane sugar) , cocoa butter), whole spelt flakes (wheat) 5%, cocoa cents 3% (wheat flour,  raw cane sugar, oatmeal, lean cocoa powder, barley malt flour), 
organic ingredients",Ultra processed foods
LU,"Lu - Heudebert Biscottes, 290g (10.2 oz) - 290 g","Plant-based foods and beverages,  Plant-based foods"," Rusks,  fr:Biscottes de froment","French: 
                    
                    Farine de blé 96,3 %, huile de palme, sucre, levure, sel, émulsifiants (E471, E481), agent de traitement de la farine (acide ascorbique).",Ultra processed foods
"Sondey, Lidl","Biscuits au germe de blé - Sondey - 200 g, 4 pochons de 5 biscuits","Snacks,  Sweet snacks"," Biscuits,  Chocolate biscuits","French: 
                    
                    Farine de blé , sucre , huile de colza , 9,5 % pépites de chocolat (pâte de cacao*, sucre, beurre de cacao* émulsifiant : lécithines de soja) , 5,5% germe de blé, farine de maïs , magnésium , poudres à lever: tartrates de potassium, carbonates de sodium, carbonates d'ammonium, fibres d'avoine , arôme naturel , sel de mer , émulsifiant : lécithines de colza , amidon natif de blé , vitamines : E, B6, B9,",Ultra processed foods
Sunny Bio,Sirop d'Agave Biologique Doseur 500g - Sunny Bio - 500 g,"Beverages and beverages preparations,  Beverages"," Flavoured syrups,  Agave syrups",100% Sirop d'Agave biologique originaire du Mexique,Unprocessed or minimally processed foods
Bonne Maman,"Bonne Maman - French Madeleine, 300g (10.6oz) - 300 g (12 sachets individuels)","Snacks,  Sweet snacks"," Madeleines,  Plain madeleines",": 
beurre 26%, oeufs frais 25%, farine de blé tendre, sucre, sirop de sucre inverti, amandes en poudre. arôme naturel de vanille (contient alcool) et arôme naturel. poudres à lever : carbonates de sodium et citrate de sodium (blé), sel",Ultra processed foods
Tropicana,Orangensaft - Tropicana - 1000 ml,"Plant-based foods and beverages,  Beverages"," Orange juices without pulp,  Squeezed orange juices",orange juice,Unprocessed or minimally processed foods
"Nature Valley, General Mills","Crunchy Avoine & Chocolat Noir - Nature Valley - 420 g, 5 barres de 42 g","Snacks,  Sweet snacks"," Cereal bars,  Chocolate cereal bars","wholemeal oats (55%), sugar, sunflower oil, dark chocolate chips (8%) (cocoa paste, sugar, emulsifier: soy lecithin, natural vanilla flavor), lean cocoa powder, honey, salt, molasses, emulsifier: sunflower lecithin, lifting powder: sodium bicarbonate, natural flavor",Ultra processed foods
President,beurre - president - 250g,"Dairies,  Fats"," Butter fat,  Sweet cream butters",butter,Processed culinary ingredients
Harrys,Pain AMS 7 céréales - Harrys - 550 g,"Plant-based foods and beverages,  Plant-based foods"," Sliced breads,  Multigrain sliced breads","wheat flour 40%, water, corn flour 6%, seigle flour 4.1%, sunflower seeds 4.1%, sugar, wheat gluten, toasted soybeans 2.4%, rapeseed oil, linseed 1.6%, flavoring (contains alcohol), seigle sourdough, salt, spelt flour (wheat) 0.7%, barley flour 0.7%, rice flour 0.7%, oatmeal 0.7%, wheat germ 0.7%,  wheat bran 0.7%, yeast, vinegar, acerola extract, may contain traces of eggs, milk, nuts, sesame seeds",Ultra processed foods
La Boulangère,Pain de mie Bio grandes tranches céréales & graines 500g - La Boulangère - 500 g,"Plant-based foods and beverages,  Plant-based foods"," Sliced breads,  Multigrain sliced breads","wheat flour 54%, water, rapeseed oil, yeast, red cane sugar, shelled sunflower seeds 3.3%, cider vinegar, brown flaxseed 2.7%, wheat flakes - 2.7%, rye flour - 1.6%, shelled millet seeds 1.6%, wheat gluten, salt, roasted malted barley flour - 0.3%, flour processing agent: ascorbic acid",Ultra processed foods
